"pk","timestamp","confidence","price","version","quote","exchange","provider"
"doge#price","1713831629002","0.00016714","0.1609274","2","usd","pyth","pyth"
"doge#price","1713831630000","0.00017657","0.1609275","2","usd","pyth","pyth"
"doge#price","1713831631000","0.00017657","0.1609275","2","usd","pyth","pyth"
"doge#price","1713831631001","0.00017542","0.16093157","2","usd","pyth","pyth"
"doge#price","1713831631002","0.00017141","0.16093132","2","usd","pyth","pyth"
"doge#price","1713831632000","0.00014981","0.16093132","2","usd","pyth","pyth"
"doge#price","1713831633000","0.0001504","0.16093508","2","usd","pyth","pyth"
"doge#price","1713831633001","0.00016048","0.16095596","2","usd","pyth","pyth"
"doge#price","1713831633002","0.0001443","0.160964","2","usd","pyth","pyth"
"doge#price","1713831633003","0.0001422","0.160975","2","usd","pyth","pyth"
"doge#price","1713831634000","0.00015978","0.16097976","2","usd","pyth","pyth"
"doge#price","1713831634001","0.00014643","0.16099226","2","usd","pyth","pyth"
"doge#price","1713831635000","0.00013472","0.16099055","2","usd","pyth","pyth"
"doge#price","1713831635001","0.00013996","0.16098457","2","usd","pyth","pyth"
"doge#price","1713831636000","0.00016252","0.1609825","2","usd","pyth","pyth"
"doge#price","1713831636001","0.00015135","0.160995","2","usd","pyth","pyth"
"doge#price","1713831637000","0.00015637","0.160995","2","usd","pyth","pyth"
"doge#price","1713831637001","0.00016222","0.1609822","2","usd","pyth","pyth"
"doge#price","1713831638000","0.00015462","0.1609746","2","usd","pyth","pyth"
"doge#price","1713831638001","0.00015502","0.160975","2","usd","pyth","pyth"
"doge#price","1713831638002","0.00014731","0.16097314","2","usd","pyth","pyth"
